,X,Y,year,month,day,hr,min,sec,Hoogte_x,qual,speed(km/h_x,load(kg),tare(kg)_x,conv.facto,beltspd(m/,workwidth(_x,yield(ton/_x,totalyield,point_weig_x,totalarea(,worktime(s,loadnr,loadweight,loadbelt(m,usertare(%,tarecorrec_x,tarecorre2_x,SampleID_x,Hoogte_y,EC_0.5m,EC_1m,EC_1.5m,EC_3m,Hoogte2,speed(km/h_y,tare(kg)_y,workwidth(_y,yield(ton/_y,point_weig_y,tarecorrec_y,tarecorre2_y,SampleID_y
0,5.833827905608361,52.662016754541206,2018,3,4.165,9.405,47.172,47.976000000000006,-4.35,4,2.8360000000000003,22.176,21,30.116999999999997,0.23,2.25,57.78,129.13299999999998,0.17600000000000002,4.41,12250.658000000001,8.842,78.24,1470.777,0,57.78,129.13299999999998,1,-6.57,13.232000000000001,28.583000000000002,32.42,46.702,-4,2.8360000000000003,21,2.25,57.78,0.17600000000000002,57.78,129.13299999999998,1
1,5.833905079370379,52.6619406089747,2018,3,4.343999999999999,7.555,50.108999999999995,32.422,-4.35,4,3.6919999999999997,21.359,21,30.116999999999997,0.22,2.25,42.036,103.12799999999999,0.36700000000000005,3.5069999999999997,9750.09,7.5889999999999995,63.151,1183.512,0,42.036,103.12799999999999,2,-6.46,11.565999999999999,26.923000000000002,31.616,48.943999999999996,-4,3.6919999999999997,21,2.25,42.036,0.36700000000000005,42.036,103.12799999999999,2
2,5.83413782397563,52.661710917775295,2018,3,4.295,8.051,50.033,25.035999999999998,-4.35,4,6.056,23.305999999999997,21,30.116999999999997,0.23,2.25,41.248000000000005,109.94200000000001,1.538,3.753,10429.295,7.936,66.946,1259.739,0,41.248000000000005,109.94200000000001,5,-6.5,11.373,26.052,31.303,48.082,-4,6.056,21,2.25,41.248000000000005,1.538,41.248000000000005,109.94200000000001,5
3,5.83421542889478,52.66163433574861,2018,3,4.283,8.167,50.5,34.089,-4.35,4,6.226,23.675,21,30.116999999999997,0.23,2.25,46.753,112.022,1.518,3.82,10618.271,8.017000000000001,68.313,1285.085,0,46.753,112.022,6,-6.5,11.630999999999998,26.807,31.864,48.755,-4,6.226,21,2.25,46.753,1.518,46.753,112.022,6
4,5.834292957089749,52.661557807820394,2018,3,4.249,8.51,50.02,28.348000000000003,-4.35,4,6.369,23.346999999999998,21,30.116999999999997,0.23,2.25,39.992,116.522,1.652,3.9819999999999998,11064.065,8.257,70.715,1331.6029999999998,0,39.992,116.522,7,-6.5,11.529000000000002,26.564,31.784000000000002,48.778999999999996,-4,6.369,21,2.25,39.992,1.652,39.992,116.522,7
5,5.83452570169501,52.661328114609205,2018,3,4.297,8.031,50.718999999999994,37.729,-4.35,4,6.391,23.545,21,30.116999999999997,0.23199999999999998,2.25,43.61600000000001,110.416,1.6380000000000001,3.76,10447.916,7.922000000000001,67.533,1267.24,0,43.61600000000001,110.416,10,-6.5,12.025,28.118000000000002,33.622,52.056000000000004,-4,6.391,21,2.25,43.61600000000001,1.6380000000000001,43.61600000000001,110.416,10
6,5.83468090748587,52.6611749491739,2018,3,4.352,7.483,50.895,36.288000000000004,-4.35,4,6.39,23.78,21,30.116999999999997,0.23,2.25,47.17,102.855,1.8319999999999999,3.49,9702.049,7.537999999999999,63.316,1183.493,0,47.17,102.855,12,-6.5,12.491,29.408,35.228,54.423,-4,6.39,21,2.25,47.17,1.8319999999999999,47.17,102.855,12
7,5.83499134337005,52.6608687252094,2018,3,4.254,8.464,51.42100000000001,27.314,-4.35,4,6.403,23.175,21,30.116999999999997,0.231,2.25,37.095,117.085,1.355,3.99,11076.328000000001,8.225,71.557,1342.358,0,37.095,117.085,16,-6.5,12.517999999999999,30.338,36.461999999999996,56.63,-4,6.403,21,2.25,37.095,1.355,37.095,117.085,16
8,5.8351465958328,52.660715557065004,2018,3,4.313,7.875,51.276,24.151,-4.35,4,6.377000000000001,23.143,21,30.116999999999997,0.231,2.25,36.436,108.66799999999999,1.5319999999999998,3.694,10257.86,7.813,66.738,1248.472,0,36.436,108.66799999999999,18,-6.5,11.259,26.743000000000002,32.548,50.775,-4,6.377000000000001,21,2.25,36.436,1.5319999999999998,36.436,108.66799999999999,18
9,5.83537932097386,52.6604858598835,2018,3,4.275,8.25,51.45,40.547,-4.35,4,6.394,22.893,21,30.116999999999997,0.23199999999999998,2.25,32.258,114.29799999999999,1.32,3.889,10798.798999999999,8.075,70.085,1312.844,0,32.258,114.29799999999999,21,-6.42,10.911,25.079,29.968000000000004,45.951,-4,6.394,21,2.25,32.258,1.32,32.258,114.29799999999999,21
10,5.8354569498485995,52.6604092751469,2018,3,4.421,6.792000000000001,50.665,46.192,-4.35,4,6.38,22.866,21,30.116999999999997,0.231,2.25,31.5,93.29700000000001,1.39,3.153,8760.009,7.053999999999999,57.977,1077.657,0,31.5,93.29700000000001,22,-6.4,10.699000000000002,24.44,29.219,44.974,-4,6.38,21,2.25,31.5,1.39,31.5,93.29700000000001,22
11,5.83561215598117,52.660256161026794,2018,3,4.083,10.167,52.841,17.951,-4.35,4,6.379,23.165,21,30.116999999999997,0.235,2.25,37.559,142.016,1.225,4.864,13489.072,9.417,86.10799999999999,1624.4360000000001,0,37.559,142.016,24,-6.49,10.427,23.862,28.613000000000003,44.073,-4,6.379,21,2.25,37.559,1.225,37.559,142.016,24
