Long,Lat,Hoogte,EC_0.5m,EC_1m,EC_1.5m,EC_3m,Class_3,Class_5,Outlier
5.8338627,52.6619609,-6.4,11.6,26.9,31.2,47.8,1,2,0
5.8338632,52.6619699,-6.4,11.6,26.8,31.1,47.3,1,2,0
5.8338638,52.6619788,-6.5,11.6,26.9,31.2,47.5,1,2,0
5.8338644,52.6619878,-6.5,11.6,26.9,31.2,47.7,1,2,0
5.833865,52.6619968,-6.5,11.8,27,31.7,47.8,2,2,0
5.8338656,52.6620058,-6.5,12.2,27.5,32,47.9,2,2,0
5.8338662,52.6620148,-6.6,12.5,28.3,32.3,48,2,2,0
5.8338667,52.6620237,-6.6,13.1,28.8,32.5,47.9,2,2,0
5.8338673,52.6620327,-6.6,13.4,29.1,32.7,47.3,2,2,0
5.8338679,52.6620417,-6.6,14.1,29.3,32.9,46.5,2,2,0
5.8338685,52.6620507,-6.6,14.5,29.3,32.9,45.8,2,2,0
5.8338691,52.6620597,-6.6,14.6,29.3,33.1,45.4,2,2,0
5.8338696,52.6620686,-6.6,14.6,29,33.1,45.3,2,2,0
5.8338702,52.6620776,-6.6,14.6,28.9,33.2,45.3,2,2,0
5.8338708,52.6620866,-6.6,14.7,28.8,33.3,45.4,2,2,0
5.8338714,52.6620956,-6.6,14.7,29,33.3,45.4,2,2,0
5.8338734,52.6618977,-6.5,11.1,26.2,31.3,48.5,1,2,0
5.8338739,52.6619067,-6.4,11.1,26.1,31.3,48.7,1,2,0
5.8338745,52.6619156,-6.4,11.1,26.1,31.3,48.7,1,2,0
5.8338751,52.6619246,-6.4,11.3,26.1,31.3,48.7,1,2,0
5.8338757,52.6619336,-6.4,11.3,26.5,31.3,48.7,1,2,0
5.8338763,52.6619426,-6.4,11.4,26.8,31.3,48.7,1,2,0
5.8338768,52.6619516,-6.4,11.6,26.9,31.2,48.6,1,2,0
5.8338774,52.6619605,-6.4,11.6,26.9,31.2,48.1,1,2,0
5.833878,52.6619695,-6.4,11.6,26.8,31.2,47.8,1,2,0
5.8338786,52.6619785,-6.5,11.6,26.9,31.2,47.8,1,2,0
5.8338792,52.6619875,-6.5,11.6,26.9,31.2,47.8,1,2,0
5.8338798,52.6619965,-6.5,11.6,26.9,31.5,47.9,2,2,0
5.8338803,52.6620054,-6.5,11.9,27.2,31.8,48,2,2,0
5.8338809,52.6620144,-6.6,12.4,27.9,32.2,48.1,2,2,0
5.8338815,52.6620234,-6.6,12.8,28.5,32.5,48.3,2,2,0
5.8338821,52.6620324,-6.6,13.2,29,32.7,48,2,2,0
5.8338827,52.6620413,-6.6,13.8,29.1,32.9,47.3,2,2,0
5.8338832,52.6620503,-6.6,14.2,29.3,32.9,46.5,2,2,0
5.8338838,52.6620593,-6.6,14.5,29.3,33,46.1,2,2,0
5.8338844,52.6620683,-6.6,14.6,29.3,33.1,45.7,2,2,0
5.833885,52.6620773,-6.6,14.7,29,33.3,45.4,2,2,0
5.8338856,52.6620862,-6.6,14.7,29.3,33.4,46.1,2,2,0
5.8338861,52.6620952,-6.6,14.7,29.4,33.4,46.7,2,2,0
5.8338867,52.6621042,-6.6,14.8,29.5,33.6,46.9,2,2,0
5.8338875,52.6618884,-6.5,11.4,26.6,31.4,49,1,2,0
5.8338881,52.6618973,-6.5,11.2,26.6,31.4,48.7,1,2,0
5.8338887,52.6619063,-6.5,11.1,26.1,31.3,48.7,1,2,0
5.8338893,52.6619153,-6.4,11.1,26.1,31.3,48.7,1,2,0
5.8338899,52.6619243,-6.4,11.2,26.1,31.3,48.7,1,2,0
5.8338905,52.6619332,-6.4,11.3,26.4,31.4,48.7,1,2,0
5.833891,52.6619422,-6.4,11.4,26.7,31.4,48.7,1,2,0
5.8338916,52.6619512,-6.4,11.6,26.9,31.3,48.7,1,2,0
5.8338922,52.6619602,-6.4,11.6,26.9,31.2,48.5,1,2,0
5.8338928,52.6619692,-6.4,11.6,26.9,31.2,48.1,1,2,0
5.8338934,52.6619781,-6.5,11.6,26.9,31.2,47.9,1,2,0
5.8338939,52.6619871,-6.5,11.6,26.9,31.2,47.9,1,2,0
5.8338945,52.6619961,-6.5,11.6,26.8,31.3,48,1,2,0
5.8338951,52.6620051,-6.5,11.8,27,31.7,48.1,2,2,0
5.8338957,52.6620141,-6.5,12.1,27.5,32.2,48.4,2,2,0
5.8338963,52.662023,-6.6,12.6,28.2,32.4,48.5,2,2,0
5.8338968,52.662032,-6.6,13,28.5,32.6,48.5,2,2,0
5.8338974,52.662041,-6.6,13.3,29,32.7,48,2,2,0
5.833898,52.66205,-6.6,14,29,32.9,47.3,2,2,0
5.8338986,52.662059,-6.6,14.4,29.1,33,46.6,2,2,0
5.8338992,52.6620679,-6.6,14.6,29.3,33.1,46.6,2,2,0
5.8338998,52.6620769,-6.6,14.7,29.3,33.3,46.6,2,2,0
5.8339003,52.6620859,-6.6,14.7,29.4,33.4,46.8,2,2,0
5.8339009,52.6620949,-6.6,14.8,29.5,33.6,46.9,2,2,0
5.8339015,52.6621038,-6.6,14.9,29.5,33.9,47.1,2,2,0
5.8339021,52.6621128,-6.6,14.9,29.5,33.9,47.2,2,2,0
5.8339012,52.66187,-6.5,11.3,26.1,31.7,49.1,1,2,0
5.8339017,52.661879,-6.5,11.2,26.5,31.6,49,1,2,0
5.8339023,52.661888,-6.5,11.3,26.6,31.5,49,1,2,0
5.8339029,52.661897,-6.5,11.3,26.8,31.5,48.9,1,2,0
5.8339035,52.661906,-6.5,11.2,26.6,31.3,48.7,1,2,0
5.8339041,52.6619149,-6.5,11.2,26.4,31.4,48.7,1,2,0
5.8339046,52.6619239,-6.5,11.3,26.4,31.4,48.8,1,2,0
5.8339052,52.6619329,-6.4,11.3,26.7,31.4,48.9,1,2,0
5.8339058,52.6619419,-6.4,11.5,26.8,31.4,49,1,2,0
5.8339064,52.6619509,-6.4,11.6,26.9,31.4,49,1,2,0
5.833907,52.6619598,-6.4,11.6,27,31.3,48.7,1,2,0
5.8339075,52.6619688,-6.5,11.6,27,31.2,48.5,1,2,0
