Long,Lat,Hoogte,EC_0.5m,EC_1m,EC_1.5m,EC_3m,Class_3,Class_5,Outlier
5.833862614,52.6619609,-6.4,11.6,26.9,31.2,47.8,1,2,0
5.833863154,52.66196985,-6.4,11.6,26.8,31.1,47.3,1,2,0
5.833863873,52.66197879,-6.5,11.6,26.9,31.2,47.5,1,2,0
5.833864413,52.66198785,-6.5,11.6,26.9,31.2,47.7,1,2,0
5.833864953,52.66199679,-6.5,11.8,27,31.7,47.8,2,2,0
5.833865672,52.66200585,-6.5,12.2,27.5,32,47.9,2,2,0
5.833866212,52.66201479,-6.6,12.5,28.3,32.3,48,2,2,0
5.833866751,52.66202374,-6.6,13.1,28.8,32.5,47.9,2,2,0
5.833867291,52.66203268,-6.6,13.4,29.1,32.7,47.3,2,2,0
5.83386783,52.66204174,-6.6,14.1,29.3,32.9,46.5,2,2,0
5.83386855,52.66205068,-6.6,14.5,29.3,32.9,45.8,2,2,0
5.833869089,52.66205974,-6.6,14.6,29.3,33.1,45.4,2,2,0
5.833869629,52.66206857,-6.6,14.6,29,33.1,45.3,2,2,0
5.833870169,52.66207763,-6.6,14.6,28.9,33.2,45.3,2,2,0
5.833870888,52.66208657,-6.6,14.7,28.8,33.3,45.4,2,2,0
5.833871428,52.66209563,-6.6,14.7,29,33.3,45.4,2,2,0
5.833873406,52.66189774,-6.5,11.1,26.2,31.3,48.5,1,2,0
5.833873946,52.66190668,-6.4,11.1,26.1,31.3,48.7,1,2,0
5.833874485,52.66191563,-6.4,11.1,26.1,31.3,48.7,1,2,0
5.833875025,52.66192457,-6.4,11.3,26.1,31.3,48.7,1,2,0
5.833875744,52.66193363,-6.4,11.3,26.5,31.3,48.7,1,2,0
5.833876284,52.66194257,-6.4,11.4,26.8,31.3,48.7,1,2,0
5.833876824,52.66195163,-6.4,11.6,26.9,31.2,48.6,1,2,0
5.833877363,52.66196046,-6.4,11.6,26.9,31.2,48.1,1,2,0
5.833878083,52.66196952,-6.4,11.6,26.8,31.2,47.8,1,2,0
5.833878622,52.66197846,-6.5,11.6,26.9,31.2,47.8,1,2,0
5.833879162,52.66198752,-6.5,11.6,26.9,31.2,47.8,1,2,0
5.833879881,52.66199646,-6.5,11.6,26.9,31.5,47.9,2,2,0
5.833880241,52.66200541,-6.5,11.9,27.2,31.8,48,2,2,0
5.833880961,52.66201435,-6.6,12.4,27.9,32.2,48.1,2,2,0
5.8338815,52.66202341,-6.6,12.8,28.5,32.5,48.3,2,2,0
5.83388204,52.66203235,-6.6,13.2,29,32.7,48,2,2,0
5.833882759,52.6620413,-6.6,13.8,29.1,32.9,47.3,2,2,0
5.833883119,52.66205025,-6.6,14.2,29.3,32.9,46.5,2,2,0
5.833883838,52.6620593,-6.6,14.5,29.3,33,46.1,2,2,0
5.833884378,52.66206835,-6.6,14.6,29.3,33.1,45.7,2,2,0
5.833884918,52.6620773,-6.6,14.7,29,33.3,45.4,2,2,0
5.833885637,52.66208625,-6.6,14.7,29.3,33.4,46.1,2,2,0
5.833886177,52.66209519,-6.6,14.7,29.4,33.4,46.7,2,2,0
5.833886716,52.66210425,-6.6,14.8,29.5,33.6,46.9,2,2,0
5.833887436,52.66188835,-6.5,11.4,26.6,31.4,49,1,2,0
5.833888155,52.6618973,-6.5,11.2,26.6,31.4,48.7,1,2,0
5.833888695,52.66190625,-6.5,11.1,26.1,31.3,48.7,1,2,0
5.833889234,52.6619153,-6.4,11.1,26.1,31.3,48.7,1,2,0
5.833889954,52.66192425,-6.4,11.2,26.1,31.3,48.7,1,2,0
5.833890493,52.66193319,-6.4,11.3,26.4,31.4,48.7,1,2,0
5.833891033,52.66194225,-6.4,11.4,26.7,31.4,48.7,1,2,0
5.833891573,52.66195119,-6.4,11.6,26.9,31.3,48.7,1,2,0
5.833892112,52.66196025,-6.4,11.6,26.9,31.2,48.5,1,2,0
5.833892832,52.66196919,-6.4,11.6,26.9,31.2,48.1,1,2,0
5.833893371,52.66197814,-6.5,11.6,26.9,31.2,47.9,1,2,0
5.833893911,52.66198708,-6.5,11.6,26.9,31.2,47.9,1,2,0
5.83389445,52.66199614,-6.5,11.6,26.8,31.3,48,1,2,0
5.83389517,52.66200508,-6.5,11.8,27,31.7,48.1,2,2,0
5.833895709,52.66201414,-6.5,12.1,27.5,32.2,48.4,2,2,0
5.833896249,52.66202297,-6.6,12.6,28.2,32.4,48.5,2,2,0
5.833896789,52.66203203,-6.6,13,28.5,32.6,48.5,2,2,0
5.833897328,52.66204097,-6.6,13.3,29,32.7,48,2,2,0
5.833898048,52.66205003,-6.6,14,29,32.9,47.3,2,2,0
5.833898587,52.66205897,-6.6,14.4,29.1,33,46.6,2,2,0
5.833899127,52.66206792,-6.6,14.6,29.3,33.1,46.6,2,2,0
5.833899846,52.66207686,-6.6,14.7,29.3,33.3,46.6,2,2,0
5.833900386,52.66208592,-6.6,14.7,29.4,33.4,46.8,2,2,0
5.833900925,52.66209486,-6.6,14.8,29.5,33.6,46.9,2,2,0
5.833901465,52.66210381,-6.6,14.9,29.5,33.9,47.1,2,2,0
5.833902185,52.66211275,-6.6,14.9,29.5,33.9,47.2,2,2,0
5.833901285,52.66187003,-6.5,11.3,26.1,31.7,49.1,1,2,0
5.833901645,52.66187897,-6.5,11.2,26.5,31.6,49,1,2,0
5.833902364,52.66188803,-6.5,11.3,26.6,31.5,49,1,2,0
5.833902904,52.66189697,-6.5,11.3,26.8,31.5,48.9,1,2,0
5.833903444,52.66190603,-6.5,11.2,26.6,31.3,48.7,1,2,0
5.833904163,52.66191486,-6.5,11.2,26.4,31.4,48.7,1,2,0
5.833904523,52.66192392,-6.5,11.3,26.4,31.4,48.8,1,2,0
5.833905242,52.66193286,-6.4,11.3,26.7,31.4,48.9,1,2,0
5.833905782,52.66194192,-6.4,11.5,26.8,31.4,49,1,2,0
5.833906321,52.66195086,-6.4,11.6,26.9,31.4,49,1,2,0
5.833907041,52.66195981,-6.4,11.6,27,31.3,48.7,1,2,0
5.83390758,52.66196875,-6.5,11.6,27,31.2,48.5,1,2,0
5.83390812,52.66197781,-6.5,11.6,26.9,31.2,48.1,1,2,0
5.83390866,52.66198675,-6.5,11.6,26.9,31.2,48,1,2,0
5.833909379,52.6619957,-6.5,11.6,26.8,31.3,48.1,1,2,0
5.833909919,52.66200465,-6.5,11.7,26.9,31.5,48.4,2,2,0
5.833910458,52.6620137,-6.5,11.9,27.2,31.8,48.5,2,2,0
5.833910998,52.66202265,-6.5,12.3,27.7,32.2,48.5,2,2,0
5.833911537,52.6620317,-6.6,12.7,28.3,32.5,48.5,2,2,0
5.833912257,52.66204065,-6.6,13,28.5,32.6,48.3,2,2,0
5.833912797,52.66204959,-6.6,13.4,28.8,32.8,48,2,2,0
5.833913336,52.66205865,-6.6,14,28.9,33,47.4,2,2,0
5.833913876,52.66206759,-6.6,14.5,29.3,33.1,47.1,2,2,0
5.833914415,52.66207665,-6.6,14.7,29.3,33.4,46.9,2,2,0
5.833915135,52.66208548,-6.6,14.7,29.5,33.6,47.1,2,2,0
5.833915674,52.66209454,-6.6,14.8,29.5,33.6,47.2,2,2,0
5.833916214,52.66210348,-6.6,14.8,29.5,33.9,47.4,2,2,0
5.833916754,52.66211254,-6.6,14.7,29.5,33.9,47.5,2,2,0
5.833915315,52.66186065,-6.5,11.2,25.7,31.8,48.9,1,2,0
5.833915854,52.6618697,-6.5,11.3,25.8,31.8,49.1,1,2,0
5.833916574,52.66187865,-6.5,11.2,26.2,31.7,49,1,2,0
5.833917113,52.66188759,-6.5,11.3,26.5,31.6,49,1,2,0
5.833917653,52.66189665,-6.5,11.4,26.7,31.5,49,1,2,0
5.833918192,52.66190559,-6.5,11.3,26.7,31.5,48.9,1,2,0
5.833918732,52.66191465,-6.5,11.3,26.7,31.4,48.9,1,2,0
5.833919452,52.66192359,-6.5,11.4,26.7,31.5,49.1,1,2,0
5.833919991,52.66193254,-6.5,11.4,26.9,31.5,49.1,1,2,0
5.833920531,52.66194148,-6.5,11.6,26.9,31.6,49.1,1,2,0
5.83392125,52.66195054,-6.5,11.6,27,31.5,49.1,1,2,0
5.83392179,52.66195948,-6.5,11.6,27,31.5,49,1,2,0
5.833922329,52.66196854,-6.5,11.6,27,31.4,48.7,1,2,0
5.833922869,52.66197737,-6.5,11.6,27,31.3,48.5,1,2,0
5.833923588,52.66198643,-6.5,11.6,26.9,31.3,48.4,1,2,0
5.833924128,52.66199537,-6.5,11.6,26.7,31.4,48.4,1,2,0
5.833924668,52.66200443,-6.5,11.6,26.7,31.5,48.4,2,2,0
