Lat,Lon,Hoogte,EC 0.5m,EC 1m,EC 1.5m,EC 3m,Class_3,Class_5,Outlier
52.6619806,5.8337900,-6.5,11.8,27.1,31.6,47.7,2,2,0.0
52.6619896,5.8337906,-6.6,12.2,27.3,32.1,47.8,2,2,0.0
52.6619986,5.8337912,-6.6,12.4,27.9,32.0,47.8,2,2,0.0
52.6620076,5.8337917,-6.6,12.5,28.8,32.4,47.8,2,2,0.0
52.6620165,5.8337923,-6.6,12.6,28.8,32.4,47.5,2,2,0.0
52.6620255,5.8337929,-6.6,13.1,29.0,32.5,47.3,2,2,0.0
52.6620345,5.8337935,-6.6,13.8,29.5,32.9,46.2,2,2,0.0
52.6620435,5.8337941,-6.6,14.5,29.5,32.9,45.8,2,2,0.0
52.6620524,5.8337946,-6.6,14.6,29.6,33.0,45.7,2,2,0.0
52.6620614,5.8337952,-6.6,14.6,29.7,33.0,45.5,2,2,0.0
52.6619623,5.8338036,-6.4,11.7,26.8,31.0,47.1,1,2,0.0
52.6619713,5.8338042,-6.5,11.7,26.9,31.1,47.1,1,2,0.0
52.6619803,5.8338048,-6.5,11.8,27.0,31.6,47.3,2,2,0.0
52.6619892,5.8338053,-6.6,12.0,27.2,32.0,47.8,2,2,0.0
52.6619982,5.8338059,-6.6,12.4,27.9,32.0,47.8,2,2,0.0
52.6620072,5.8338065,-6.6,12.4,28.7,32.3,47.8,2,2,0.0
52.6620162,5.8338071,-6.6,12.6,28.8,32.4,47.5,2,2,0.0
52.6620252,5.8338077,-6.6,13.1,29.0,32.5,47.1,2,2,0.0
52.6620341,5.8338082,-6.6,14.0,29.5,32.9,46.1,2,2,0.0
52.6620431,5.8338088,-6.6,14.6,29.5,32.9,45.8,2,2,0.0
52.6620521,5.8338094,-6.6,14.6,29.6,33.0,45.7,2,2,0.0
52.6620611,5.8338100,-6.6,14.6,29.6,33.1,45.4,2,2,0.0
52.6620701,5.8338106,-6.6,14.6,29.6,33.1,45.3,2,2,0.0
52.6619530,5.8338178,-6.4,11.6,26.9,30.9,47.2,1,2,0.0
52.6619620,5.8338184,-6.4,11.6,26.9,31.0,47.1,1,2,0.0
52.6619709,5.8338189,-6.5,11.7,26.9,31.2,47.1,1,2,0.0
52.6619799,5.8338195,-6.5,11.7,27.0,31.6,47.2,2,2,0.0
52.6619889,5.8338201,-6.5,11.9,27.1,31.8,47.7,2,2,0.0
52.6619979,5.8338207,-6.6,12.3,27.8,32.0,47.7,2,2,0.0
52.6620068,5.8338213,-6.6,12.4,28.5,32.3,47.7,2,2,0.0
52.6620158,5.8338218,-6.6,12.6,28.8,32.4,47.5,2,2,0.0
52.6620248,5.8338224,-6.6,13.1,29.0,32.5,47.2,2,2,0.0
52.6620338,5.8338230,-6.6,14.0,29.5,32.9,46.2,2,2,0.0
52.6620428,5.8338236,-6.6,14.5,29.5,32.9,45.8,2,2,0.0
52.6620517,5.8338242,-6.6,14.6,29.6,33.0,45.6,2,2,0.0
52.6620607,5.8338248,-6.6,14.6,29.6,33.1,45.4,2,2,0.0
52.6620697,5.8338253,-6.6,14.6,29.6,33.1,45.3,2,2,0.0
52.6620787,5.8338259,-6.6,14.6,29.4,33.2,45.2,2,2,0.0
52.6619347,5.8338314,-6.4,11.4,26.8,31.3,48.6,1,2,0.0
52.6619436,5.8338320,-6.4,11.6,26.8,31.2,48.0,1,2,0.0
52.6619526,5.8338325,-6.4,11.6,26.9,31.1,47.3,1,2,0.0
52.6619616,5.8338331,-6.4,11.6,26.9,31.0,47.1,1,2,0.0
52.6619706,5.8338337,-6.5,11.6,26.9,31.1,47.1,1,2,0.0
52.6619796,5.8338343,-6.5,11.7,26.9,31.2,47.1,1,2,0.0
52.6619885,5.8338349,-6.5,11.8,27.0,31.6,47.3,2,2,0.0
52.6619975,5.8338355,-6.6,12.1,27.3,32.0,47.7,2,2,0.0
52.6620065,5.8338360,-6.6,12.4,28.2,32.3,47.8,2,2,0.0
52.6620155,5.8338366,-6.6,12.6,28.8,32.4,47.7,2,2,0.0
52.6620245,5.8338372,-6.6,13.1,29.0,32.5,47.2,2,2,0.0
52.6620334,5.8338378,-6.6,14.0,29.4,32.9,46.4,2,2,0.0
52.6620424,5.8338384,-6.6,14.5,29.5,32.9,45.8,2,2,0.0
52.6620514,5.8338389,-6.6,14.6,29.5,33.0,45.5,2,2,0.0
52.6620604,5.8338395,-6.6,14.6,29.5,33.1,45.3,2,2,0.0
52.6620693,5.8338401,-6.6,14.6,29.4,33.1,45.3,2,2,0.0
52.6620783,5.8338407,-6.6,14.6,29.0,33.1,45.2,2,2,0.0
52.6620873,5.8338413,-6.6,14.6,28.8,33.1,45.3,2,2,0.0
52.6619253,5.8338456,-6.4,11.3,26.6,31.3,48.7,1,2,0.0
52.6619343,5.8338462,-6.4,11.4,26.8,31.2,48.6,1,2,0.0
52.6619433,5.8338467,-6.4,11.6,26.8,31.2,48.3,1,2,0.0
52.6619523,5.8338473,-6.4,11.6,26.9,31.2,48.0,1,2,0.0
52.6619612,5.8338479,-6.4,11.6,26.9,31.0,47.2,1,2,0.0
52.6619702,5.8338485,-6.4,11.6,26.8,31.0,47.1,1,2,0.0
52.6619792,5.8338491,-6.5,11.6,26.9,31.2,47.2,1,2,0.0
52.6619882,5.8338496,-6.5,11.7,26.9,31.5,47.6,1,2,0.0
52.6619972,5.8338502,-6.5,11.9,27.2,31.8,47.7,2,2,0.0
52.6620061,5.8338508,-6.6,12.4,27.8,32.1,47.8,2,2,0.0
52.6620151,5.8338514,-6.6,12.6,28.5,32.3,47.9,2,2,0.0
52.6620241,5.8338520,-6.6,13.1,28.9,32.5,47.5,2,2,0.0
52.6620331,5.8338525,-6.6,13.8,29.3,32.8,46.9,2,2,0.0
52.6620421,5.8338531,-6.6,14.4,29.4,32.9,45.9,2,2,0.0
52.6620510,5.8338537,-6.6,14.6,29.5,33.0,45.7,2,2,0.0
52.6620600,5.8338543,-6.6,14.6,29.4,33.1,45.4,2,2,0.0
52.6620690,5.8338549,-6.6,14.6,29.1,33.1,45.3,2,2,0.0
52.6620780,5.8338555,-6.6,14.6,28.9,33.1,45.3,2,2,0.0
52.6620870,5.8338560,-6.6,14.6,28.8,33.2,45.3,2,2,0.0
52.6620959,5.8338566,-6.6,14.7,28.7,33.2,45.3,2,2,0.0
52.6619070,5.8338592,-6.4,11.1,26.0,31.4,48.7,1,2,0.0
52.6619160,5.8338598,-6.4,11.1,26.1,31.3,48.7,1,2,0.0
52.6619250,5.8338603,-6.4,11.3,26.4,31.3,48.7,1,2,0.0
52.6619340,5.8338609,-6.4,11.4,26.7,31.2,48.7,1,2,0.0
52.6619429,5.8338615,-6.4,11.4,26.8,31.2,48.6,1,2,0.0
52.6619519,5.8338621,-6.4,11.6,26.9,31.2,48.1,1,2,0.0
52.6619609,5.8338627,-6.4,11.6,26.9,31.2,47.8,1,2,0.0
52.6619699,5.8338632,-6.4,11.6,26.8,31.1,47.3,1,2,0.0
52.6619788,5.8338638,-6.5,11.6,26.9,31.2,47.5,1,2,0.0
52.6619878,5.8338644,-6.5,11.6,26.9,31.2,47.7,1,2,0.0
52.6619968,5.8338650,-6.5,11.8,27.0,31.7,47.8,2,2,0.0
52.6620058,5.8338656,-6.5,12.2,27.5,32.0,47.9,2,2,0.0
52.6620148,5.8338662,-6.6,12.5,28.3,32.3,48.0,2,2,0.0
52.6620237,5.8338667,-6.6,13.1,28.8,32.5,47.9,2,2,0.0
52.6620327,5.8338673,-6.6,13.4,29.1,32.7,47.3,2,2,0.0
52.6620417,5.8338679,-6.6,14.1,29.3,32.9,46.5,2,2,0.0
52.6620507,5.8338685,-6.6,14.5,29.3,32.9,45.8,2,2,0.0
52.6620597,5.8338691,-6.6,14.6,29.3,33.1,45.4,2,2,0.0
52.6620686,5.8338696,-6.6,14.6,29.0,33.1,45.3,2,2,0.0
52.6620776,5.8338702,-6.6,14.6,28.9,33.2,45.3,2,2,0.0
52.6620866,5.8338708,-6.6,14.7,28.8,33.3,45.4,2,2,0.0
52.6620956,5.8338714,-6.6,14.7,29.0,33.3,45.4,2,2,0.0
52.6618977,5.8338734,-6.5,11.1,26.2,31.3,48.5,1,2,0.0
52.6619067,5.8338739,-6.4,11.1,26.1,31.3,48.7,1,2,0.0
52.6619156,5.8338745,-6.4,11.1,26.1,31.3,48.7,1,2,0.0
52.6619246,5.8338751,-6.4,11.3,26.1,31.3,48.7,1,2,0.0
52.6619336,5.8338757,-6.4,11.3,26.5,31.3,48.7,1,2,0.0
52.6619426,5.8338763,-6.4,11.4,26.8,31.3,48.7,1,2,0.0
52.6619516,5.8338768,-6.4,11.6,26.9,31.2,48.6,1,2,0.0
52.6619605,5.8338774,-6.4,11.6,26.9,31.2,48.1,1,2,0.0
52.6619695,5.8338780,-6.4,11.6,26.8,31.2,47.8,1,2,0.0
52.6619785,5.8338786,-6.5,11.6,26.9,31.2,47.8,1,2,0.0
52.6619875,5.8338792,-6.5,11.6,26.9,31.2,47.8,1,2,0.0
52.6619965,5.8338798,-6.5,11.6,26.9,31.5,47.9,2,2,0.0
52.6620054,5.8338803,-6.5,11.9,27.2,31.8,48.0,2,2,0.0
52.6620144,5.8338809,-6.6,12.4,27.9,32.2,48.1,2,2,0.0
52.6620234,5.8338815,-6.6,12.8,28.5,32.5,48.3,2,2,0.0
52.6620324,5.8338821,-6.6,13.2,29.0,32.7,48.0,2,2,0.0
52.6620413,5.8338827,-6.6,13.8,29.1,32.9,47.3,2,2,0.0
52.6620503,5.8338832,-6.6,14.2,29.3,32.9,46.5,2,2,0.0
52.6620593,5.8338838,-6.6,14.5,29.3,33.0,46.1,2,2,0.0
52.6620683,5.8338844,-6.6,14.6,29.3,33.1,45.7,2,2,0.0
52.6620773,5.8338850,-6.6,14.7,29.0,33.3,45.4,2,2,0.0
52.6620862,5.8338856,-6.6,14.7,29.3,33.4,46.1,2,2,0.0
52.6620952,5.8338861,-6.6,14.7,29.4,33.4,46.7,2,2,0.0
52.6621042,5.8338867,-6.6,14.8,29.5,33.6,46.9,2,2,0.0
52.6618884,5.8338875,-6.5,11.4,26.6,31.4,49.0,1,2,0.0
52.6618973,5.8338881,-6.5,11.2,26.6,31.4,48.7,1,2,0.0
52.6619063,5.8338887,-6.5,11.1,26.1,31.3,48.7,1,2,0.0
52.6619153,5.8338893,-6.4,11.1,26.1,31.3,48.7,1,2,0.0
52.6619243,5.8338899,-6.4,11.2,26.1,31.3,48.7,1,2,0.0
52.6619332,5.8338905,-6.4,11.3,26.4,31.4,48.7,1,2,0.0
52.6619422,5.8338910,-6.4,11.4,26.7,31.4,48.7,1,2,0.0
52.6619512,5.8338916,-6.4,11.6,26.9,31.3,48.7,1,2,0.0
52.6619602,5.8338922,-6.4,11.6,26.9,31.2,48.5,1,2,0.0
52.6619692,5.8338928,-6.4,11.6,26.9,31.2,48.1,1,2,0.0
52.6619781,5.8338934,-6.5,11.6,26.9,31.2,47.9,1,2,0.0
52.6619871,5.8338939,-6.5,11.6,26.9,31.2,47.9,1,2,0.0
52.6619961,5.8338945,-6.5,11.6,26.8,31.3,48.0,1,2,0.0
52.6620051,5.8338951,-6.5,11.8,27.0,31.7,48.1,2,2,0.0
52.6620141,5.8338957,-6.5,12.1,27.5,32.2,48.4,2,2,0.0
52.6620230,5.8338963,-6.6,12.6,28.2,32.4,48.5,2,2,0.0
52.6620320,5.8338968,-6.6,13.0,28.5,32.6,48.5,2,2,0.0
52.6620410,5.8338974,-6.6,13.3,29.0,32.7,48.0,2,2,0.0
52.6620500,5.8338980,-6.6,14.0,29.0,32.9,47.3,2,2,0.0
52.6620590,5.8338986,-6.6,14.4,29.1,33.0,46.6,2,2,0.0
52.6620679,5.8338992,-6.6,14.6,29.3,33.1,46.6,2,2,0.0
52.6620769,5.8338998,-6.6,14.7,29.3,33.3,46.6,2,2,0.0
52.6620859,5.8339003,-6.6,14.7,29.4,33.4,46.8,2,2,0.0
52.6620949,5.8339009,-6.6,14.8,29.5,33.6,46.9,2,2,0.0
52.6621038,5.8339015,-6.6,14.9,29.5,33.9,47.1,2,2,0.0
52.6621128,5.8339021,-6.6,14.9,29.5,33.9,47.2,2,2,0.0
52.6618700,5.8339012,-6.5,11.3,26.1,31.7,49.1,1,2,0.0
52.6618790,5.8339017,-6.5,11.2,26.5,31.6,49.0,1,2,0.0
52.6618880,5.8339023,-6.5,11.3,26.6,31.5,49.0,1,2,0.0
52.6618970,5.8339029,-6.5,11.3,26.8,31.5,48.9,1,2,0.0
52.6619060,5.8339035,-6.5,11.2,26.6,31.3,48.7,1,2,0.0
52.6619149,5.8339041,-6.5,11.2,26.4,31.4,48.7,1,2,0.0
52.6619239,5.8339046,-6.5,11.3,26.4,31.4,48.8,1,2,0.0
52.6619329,5.8339052,-6.4,11.3,26.7,31.4,48.9,1,2,0.0
52.6619419,5.8339058,-6.4,11.5,26.8,31.4,49.0,1,2,0.0
52.6619509,5.8339064,-6.4,11.6,26.9,31.4,49.0,1,2,0.0
52.6619598,5.8339070,-6.4,11.6,27.0,31.3,48.7,1,2,0.0
52.6619688,5.8339075,-6.5,11.6,27.0,31.2,48.5,1,2,0.0
52.6619778,5.8339081,-6.5,11.6,26.9,31.2,48.1,1,2,0.0
52.6619868,5.8339087,-6.5,11.6,26.9,31.2,48.0,1,2,0.0
52.6619957,5.8339093,-6.5,11.6,26.8,31.3,48.1,1,2,0.0
52.6620047,5.8339099,-6.5,11.7,26.9,31.5,48.4,2,2,0.0
52.6620137,5.8339105,-6.5,11.9,27.2,31.8,48.5,2,2,0.0
52.6620227,5.8339110,-6.5,12.3,27.7,32.2,48.5,2,2,0.0
52.6620317,5.8339116,-6.6,12.7,28.3,32.5,48.5,2,2,0.0
52.6620406,5.8339122,-6.6,13.0,28.5,32.6,48.3,2,2,0.0
52.6620496,5.8339128,-6.6,13.4,28.8,32.8,48.0,2,2,0.0
52.6620586,5.8339134,-6.6,14.0,28.9,33.0,47.4,2,2,0.0
52.6620676,5.8339139,-6.6,14.5,29.3,33.1,47.1,2,2,0.0
52.6620766,5.8339145,-6.6,14.7,29.3,33.4,46.9,2,2,0.0
52.6620855,5.8339151,-6.6,14.7,29.5,33.6,47.1,2,2,0.0
52.6620945,5.8339157,-6.6,14.8,29.5,33.6,47.2,2,2,0.0
52.6621035,5.8339163,-6.6,14.8,29.5,33.9,47.4,2,2,0.0
52.6621125,5.8339168,-6.6,14.7,29.5,33.9,47.5,2,2,0.0
52.6618607,5.8339153,-6.5,11.2,25.7,31.8,48.9,1,2,0.0
52.6618697,5.8339159,-6.5,11.3,25.8,31.8,49.1,1,2,0.0
52.6618787,5.8339165,-6.5,11.2,26.2,31.7,49.0,1,2,0.0
52.6618876,5.8339171,-6.5,11.3,26.5,31.6,49.0,1,2,0.0
52.6618966,5.8339177,-6.5,11.4,26.7,31.5,49.0,1,2,0.0
52.6619056,5.8339182,-6.5,11.3,26.7,31.5,48.9,1,2,0.0
52.6619146,5.8339188,-6.5,11.3,26.7,31.4,48.9,1,2,0.0
52.6619236,5.8339194,-6.5,11.4,26.7,31.5,49.1,1,2,0.0
52.6619325,5.8339200,-6.5,11.4,26.9,31.5,49.1,1,2,0.0
52.6619415,5.8339206,-6.5,11.6,26.9,31.6,49.1,1,2,0.0
52.6619505,5.8339212,-6.5,11.6,27.0,31.5,49.1,1,2,0.0
52.6619595,5.8339217,-6.5,11.6,27.0,31.5,49.0,1,2,0.0
52.6619685,5.8339223,-6.5,11.6,27.0,31.4,48.7,1,2,0.0
52.6619774,5.8339229,-6.5,11.6,27.0,31.3,48.5,1,2,0.0
52.6619864,5.8339235,-6.5,11.6,26.9,31.3,48.4,1,2,0.0
52.6619954,5.8339241,-6.5,11.6,26.7,31.4,48.4,1,2,0.0
52.6620044,5.8339246,-6.5,11.6,26.7,31.5,48.4,2,2,0.0
52.6620134,5.8339252,-6.5,11.7,26.9,31.7,48.4,2,2,0.0
52.6620223,5.8339258,-6.5,12.1,27.2,32.0,48.5,2,2,0.0
52.6620313,5.8339264,-6.6,12.3,27.7,32.2,48.5,2,2,0.0
52.6620403,5.8339270,-6.6,12.7,28.0,32.5,48.2,2,2,0.0
52.6620493,5.8339275,-6.6,13.0,28.5,32.6,48.0,2,2,0.0
52.6620582,5.8339281,-6.6,13.5,28.8,33.0,47.7,2,2,0.0
52.6620672,5.8339287,-6.6,14.1,28.9,33.1,47.5,2,2,0.0
52.6620762,5.8339293,-6.6,14.5,29.3,33.3,47.4,2,2,0.0
52.6620852,5.8339299,-6.6,14.7,29.4,33.5,47.3,2,2,0.0
52.6620942,5.8339305,-6.6,14.7,29.5,33.6,47.4,2,2,0.0
52.6621031,5.8339310,-6.6,14.7,29.5,33.9,47.4,2,2,0.0
52.6621121,5.8339316,-6.6,14.7,29.4,33.8,47.4,2,2,0.0
52.6621211,5.8339322,-6.6,14.5,29.4,33.7,47.4,2,2,0.0
52.6618424,5.8339289,-6.5,11.2,25.7,31.8,48.4,1,2,0.0
52.6618514,5.8339295,-6.5,11.2,25.7,31.8,48.7,1,2,0.0
52.6618604,5.8339301,-6.5,11.3,25.7,31.8,48.9,1,2,0.0
52.6618693,5.8339307,-6.5,11.3,25.8,31.8,48.9,1,2,0.0
52.6618783,5.8339313,-6.5,11.2,26.0,31.7,49.0,1,2,0.0
52.6618873,5.8339319,-6.5,11.3,26.4,31.7,49.1,1,2,0.0
52.6618963,5.8339324,-6.5,11.3,26.7,31.7,49.1,1,2,0.0
52.6619053,5.8339330,-6.5,11.4,26.8,31.7,49.1,1,2,0.0
52.6619142,5.8339336,-6.5,11.4,26.9,31.7,49.1,1,2,0.0
52.6619232,5.8339342,-6.5,11.5,27.0,31.7,49.2,1,2,0.0
52.6619322,5.8339348,-6.5,11.5,27.0,31.7,49.2,1,2,0.0
52.6619412,5.8339353,-6.5,11.6,27.1,31.7,49.2,1,2,0.0
52.6619501,5.8339359,-6.5,11.7,27.1,31.7,49.2,1,2,0.0
52.6619591,5.8339365,-6.5,11.6,27.1,31.6,49.2,1,2,0.0
52.6619681,5.8339371,-6.5,11.6,27.1,31.6,49.1,1,2,0.0
52.6619771,5.8339377,-6.5,11.6,27.0,31.5,48.9,1,2,0.0
52.6619861,5.8339382,-6.5,11.6,26.9,31.5,48.6,1,2,0.0
52.6619950,5.8339388,-6.5,11.6,26.7,31.5,48.5,1,2,0.0
52.6620040,5.8339394,-6.5,11.5,26.7,31.6,48.4,1,2,0.0
52.6620130,5.8339400,-6.5,11.6,26.7,31.6,48.4,2,2,0.0
52.6620220,5.8339406,-6.5,11.8,26.9,31.8,48.4,2,2,0.0
52.6620310,5.8339412,-6.5,12.0,27.2,31.8,48.3,2,2,0.0
52.6620399,5.8339417,-6.6,12.3,27.5,32.1,48.2,2,2,0.0
52.6620489,5.8339423,-6.6,12.7,27.8,32.4,48.0,2,2,0.0
52.6620579,5.8339429,-6.6,13.0,28.3,32.6,47.8,2,2,0.0
52.6620669,5.8339435,-6.6,13.6,28.5,33.0,47.7,2,2,0.0
52.6620759,5.8339441,-6.6,14.1,28.8,33.2,47.6,2,2,0.0
52.6620848,5.8339446,-6.6,14.3,28.9,33.4,47.5,2,2,0.0
52.6620938,5.8339452,-6.6,14.5,29.3,33.4,47.5,2,2,0.0
52.6621028,5.8339458,-6.6,14.5,29.3,33.5,47.5,2,2,0.0
52.6621118,5.8339464,-6.6,14.3,28.9,33.4,47.4,2,2,0.0
52.6621207,5.8339470,-6.6,14.1,28.7,33.3,47.4,2,2,0.0
52.6621297,5.8339475,-6.6,14.1,28.3,33.3,47.3,2,2,0.0
52.6618331,5.8339431,-6.5,10.9,25.7,31.0,48.3,1,2,0.0
52.6618420,5.8339437,-6.5,11.1,25.7,31.6,48.4,1,2,0.0
52.6618510,5.8339443,-6.5,11.2,25.7,31.7,48.4,1,2,0.0
52.6618600,5.8339449,-6.5,11.2,25.7,31.8,48.8,1,2,0.0
52.6618690,5.8339455,-6.5,11.3,25.8,31.8,48.9,1,2,0.0
52.6618780,5.8339460,-6.5,11.3,25.9,31.8,48.9,1,2,0.0
52.6618869,5.8339466,-6.5,11.3,26.4,31.8,49.2,1,2,0.0
52.6618959,5.8339472,-6.5,11.3,26.6,31.8,49.3,1,2,0.0
52.6619049,5.8339478,-6.5,11.4,26.8,31.8,49.3,1,2,0.0
52.6619139,5.8339484,-6.5,11.5,26.9,31.8,49.4,1,2,0.0
52.6619229,5.8339489,-6.5,11.5,27.1,31.9,49.4,1,2,0.0
52.6619318,5.8339495,-6.5,11.6,27.1,32.0,49.5,1,2,0.0
52.6619408,5.8339501,-6.5,11.7,27.2,32.0,49.5,1,2,0.0
52.6619498,5.8339507,-6.5,11.8,27.3,32.0,49.5,1,2,0.0
52.6619588,5.8339513,-6.5,11.8,27.3,32.0,49.5,1,2,0.0
52.6619678,5.8339518,-6.5,11.8,27.3,31.9,49.3,1,2,0.0
52.6619767,5.8339524,-6.5,11.7,27.1,31.7,49.2,1,2,0.0
52.6619857,5.8339530,-6.5,11.6,27.0,31.6,49.0,1,2,0.0
52.6619947,5.8339536,-6.5,11.6,26.9,31.7,48.9,1,2,0.0
52.6620037,5.8339542,-6.5,11.6,26.7,31.7,48.6,1,2,0.0
52.6620126,5.8339548,-6.5,11.5,26.7,31.8,48.4,2,2,0.0
52.6620216,5.8339553,-6.5,11.6,26.8,31.8,48.3,2,2,0.0
