Lat,Lon,Hoogte,EC 0.5m,EC 1m,EC 1.5m,EC 3m,Class_3,Class_5,Outlier
52.6607639,5.8350275,-6.5,11.2,27.9,34.0,52.9,2,3,0.0
52.6607729,5.8350281,-6.5,11.3,28.1,34.2,53.3,2,3,0.0
52.6607819,5.8350287,-6.5,11.3,28.6,34.7,54.1,2,4,0.0
52.6607909,5.8350293,-6.5,11.6,28.9,34.9,55.1,3,4,0.0
52.6607999,5.8350299,-6.5,11.8,29.1,35.1,55.2,3,4,0.0
52.6608088,5.8350305,-6.5,11.9,29.4,35.5,55.6,3,4,0.0
52.6608178,5.8350310,-6.5,12.1,29.7,35.9,55.7,3,4,0.0
52.6608268,5.8350316,-6.5,12.3,30.1,36.0,55.8,3,4,0.0
52.6608358,5.8350322,-6.5,12.5,30.3,36.2,55.9,3,4,0.0
52.6608448,5.8350328,-6.5,12.4,30.3,36.2,55.9,3,4,0.0
52.6608537,5.8350334,-6.5,12.4,30.3,36.2,56.2,3,5,0.0
52.6608627,5.8350339,-6.5,12.5,30.3,36.3,56.4,3,5,0.0
52.6608717,5.8350345,-6.5,12.5,30.4,36.4,56.7,3,5,0.0
52.6608807,5.8350351,-6.5,12.8,30.8,36.7,57.0,3,5,0.0
52.6608896,5.8350357,-6.5,13.1,31.3,37.1,57.3,3,5,0.0
52.6608986,5.8350363,-6.5,13.4,31.6,37.4,57.6,3,5,0.0
52.6609076,5.8350368,-6.5,13.6,31.9,37.5,57.8,3,5,0.0
52.6609166,5.8350374,-6.5,13.8,32.2,37.7,57.9,3,5,0.0
52.6609256,5.8350380,-6.5,13.9,32.3,38.0,58.2,3,5,0.0
52.6609345,5.8350386,-6.5,14.1,32.5,38.3,58.5,3,5,0.0
52.6609435,5.8350392,-6.5,14.2,32.6,38.5,58.7,3,5,0.0
52.6609525,5.8350398,-6.5,14.2,32.8,38.6,58.9,3,5,0.0
52.6609615,5.8350403,-6.5,14.2,32.8,38.8,59.1,3,5,0.0
52.6609705,5.8350409,-6.5,14.2,32.9,39.0,59.3,3,5,0.0
52.6609794,5.8350415,-6.5,14.2,33.0,39.0,59.4,3,5,0.0
52.6609884,5.8350421,-6.5,14.4,33.4,39.1,59.5,3,5,0.0
52.6609974,5.8350427,-6.5,14.5,33.5,39.4,59.8,3,5,0.0
52.6610064,5.8350432,-6.5,14.5,33.5,39.5,59.9,3,5,0.0
52.6610153,5.8350438,-6.5,14.5,33.5,39.5,60.1,3,5,0.0
52.6610243,5.8350444,-6.5,14.5,33.5,39.5,60.1,3,5,0.0
52.6610333,5.8350450,-6.6,14.4,33.3,39.5,60.1,3,5,0.0
52.6610423,5.8350456,-6.6,14.3,33.1,39.3,59.7,3,5,0.0
52.6610513,5.8350462,-6.6,14.1,32.9,38.9,59.3,3,5,0.0
52.6610602,5.8350467,-6.6,14.0,32.7,38.6,59.0,3,5,0.0
52.6610692,5.8350473,-6.6,13.9,32.5,38.5,58.8,3,5,0.0
52.6610782,5.8350479,-6.6,13.8,32.2,38.2,58.6,3,5,0.0
52.6610872,5.8350485,-6.6,13.7,32.0,38.0,58.5,3,5,0.0
52.6610962,5.8350491,-6.6,13.7,31.9,37.9,58.5,3,5,0.0
52.6611051,5.8350496,-6.6,13.7,31.8,37.9,58.4,3,5,0.0
52.6611141,5.8350502,-6.6,13.7,31.7,37.9,58.4,3,5,0.0
52.6611231,5.8350508,-6.6,13.7,31.7,37.9,58.3,3,5,0.0
52.6611321,5.8350514,-6.6,13.6,31.6,37.8,58.1,3,5,0.0
52.6611411,5.8350520,-6.6,13.5,31.3,37.6,57.8,3,5,0.0
52.6611500,5.8350525,-6.6,13.5,31.3,37.4,57.4,3,5,0.0
52.6611590,5.8350531,-6.6,13.4,31.2,37.1,57.1,3,5,0.0
52.6611680,5.8350537,-6.6,13.4,30.8,36.8,56.6,3,5,0.0
52.6611770,5.8350543,-6.6,13.3,30.6,36.5,56.1,3,5,0.0
52.6611859,5.8350549,-6.6,13.3,30.3,36.0,55.6,3,5,0.0
52.6611949,5.8350555,-6.6,13.1,29.9,35.5,55.0,3,4,0.0
52.6612039,5.8350560,-6.6,12.8,29.3,35.1,54.3,3,4,0.0
52.6612129,5.8350566,-6.6,12.4,28.7,34.7,53.8,3,4,0.0
52.6612219,5.8350572,-6.6,12.4,28.5,34.4,53.2,2,4,0.0
52.6612308,5.8350578,-6.6,12.2,28.1,34.2,53.1,2,4,0.0
